origin,tipo,adr
International,work+rest,97.0
International,work+rest,52.71
International,work+rest,52.71
Portugal,work,63.0
International,work+rest,41.33
Portugal,work,47.0
International,work,50.18
International,work,96.0
International,work+rest,63.4
Portugal,work+rest,46.0
Portugal,work+rest,39.0
International,work+rest,68.0
International,work+rest,70.0
International,work+rest,40.19
International,work+rest,40.19
International,work,81.0
Portugal,work,40.8
Portugal,work,40.8
Portugal,work,45.0
Portugal,weekend,41.5
Portugal,work,41.4
International,work,151.0
Portugal,work,61.0
International,work,95.53
International,work,50.0
International,work+rest,80.0
International,weekend,43.65
International,work+rest,70.2
International,work,100.0
International,work+rest,84.95
International,work,136.0
Portugal,work+rest,171.0
International,work+rest,65.0
International,work,78.0
Portugal,work,58.8
Portugal,work,58.8
Portugal,work,42.0
International,work+rest,58.0
International,work+rest,74.75
International,work,96.0
International,work+rest,48.0
International,work+rest,46.0
International,work+rest,96.4
Portugal,work+rest,66.6
International,work+rest,90.95
International,work+rest,65.75
International,work,105.75
International,work,73.5
International,work+rest,42.86
Portugal,work,36.0
International,work+rest,55.0
International,work+rest,46.0
International,work+rest,46.0
International,work+rest,46.0
International,work,111.0
International,work+rest,128.14
International,work,58.0
International,work+rest,49.5
Portugal,work,57.0
International,work+rest,82.28
International,work,75.0
International,work,70.0
International,work,90.0
International,work,75.0
International,work+rest,69.71
International,work,49.0
International,work+rest,49.0
International,work+rest,46.0
International,work+rest,139.0
International,work+rest,60.0
International,work,46.0
International,work,49.0
International,work,66.0
International,work,183.0
Portugal,work+rest,119.0
Portugal,work+rest,76.0
International,work,49.0
International,work+rest,74.61
International,work,72.0
Portugal,work,95.0
International,work+rest,74.9
International,work,68.0
International,work+rest,117.0
International,work+rest,41.76
International,work,75.0
International,work,75.0
International,work+rest,74.9
International,work,70.0
Portugal,work,48.0
Portugal,work,47.5
International,work+rest,58.0
International,work,70.0
International,work+rest,71.0
Portugal,work,85.0
Portugal,work,78.0
Portugal,work+rest,78.0
Portugal,work,92.5
Portugal,work,85.0
Portugal,weekend,92.5
International,work,46.0
International,work+rest,51.0
Portugal,work,85.0
International,work+rest,129.45
International,work+rest,79.2
International,work+rest,111.2
Portugal,work+rest,96.13
Portugal,work,36.0
International,work,51.0
International,work+rest,36.0
International,work+rest,39.4
Portugal,work,63.0
International,work+rest,70.0
International,work,122.67
International,work+rest,94.64
Portugal,work,63.0
International,work,70.0
International,work,178.0
International,rest,81.0
International,work+rest,37.4
Portugal,work,63.0
International,work,78.0
International,work+rest,72.4
International,work,59.0
Portugal,work,68.0
Portugal,work,70.2
Portugal,work,52.0
Portugal,work,58.5
International,work,69.68
Portugal,work,38.0
Portugal,work,44.0
Portugal,work,38.0
Portugal,work,44.0
International,work,44.0
International,weekend,55.0
Portugal,work,38.0
Portugal,work,36.0
International,work,38.0
International,work+rest,115.0
Portugal,work,61.0
Portugal,work,90.0
Portugal,work,44.0
Portugal,work,38.0
International,work,51.2
International,work,68.0
International,work,68.0
Portugal,work,136.67
International,work,58.0
Portugal,work,70.0
Portugal,work,145.0
Portugal,work,38.0
Portugal,weekend,55.0
International,rest,80.57
Portugal,work,120.0
Portugal,work,62.0
Portugal,work,38.0
Portugal,work,44.0
International,rest,58.22
International,work+rest,74.0
International,work+rest,94.0
International,work+rest,74.0
International,work+rest,94.0
Portugal,weekend,66.0
International,work+rest,41.0
International,work+rest,138.33
Portugal,weekend,66.0
Portugal,weekend,66.0
International,work+rest,93.0
International,work+rest,44.0
International,work+rest,74.0
Portugal,work+rest,44.0
Portugal,work+rest,71.0
International,work+rest,46.0
International,work+rest,80.5
International,weekend,66.0
Portugal,weekend,66.0
International,work+rest,55.0
Portugal,work+rest,38.0
International,rest,49.5
International,work+rest,54.2
Portugal,work+rest,38.0
International,work+rest,145.0
Portugal,work+rest,38.0
Portugal,work+rest,38.0
International,work+rest,105.0
International,work+rest,79.2
International,work+rest,79.2
International,weekend,60.0
International,work+rest,40.0
International,work+rest,40.0
Portugal,weekend,66.0
International,work+rest,71.2
International,work,32.34
International,rest,47.4
International,rest,77.4
International,rest,77.4
International,rest,79.4
International,work+rest,64.0
International,work+rest,48.95
International,work+rest,58.4
International,weekend,57.97
Portugal,work,55.0
International,work+rest,29.0
Portugal,weekend,6.0
Portugal,work+rest,58.0
Portugal,work+rest,46.4
Portugal,weekend,76.0
Portugal,work+rest,38.0
Portugal,work+rest,44.0
Portugal,weekend,60.0
International,work+rest,135.0
Portugal,weekend,145.0
Portugal,weekend,150.0
International,weekend,55.0
Portugal,weekend,108.0
International,work+rest,46.98
International,work,46.17
Portugal,work+rest,38.0
International,weekend,66.0
Portugal,work+rest,71.23
Portugal,weekend,66.0
Portugal,work,76.0
Portugal,work+rest,56.73
Portugal,weekend,41.57
Portugal,weekend,66.0
Portugal,work+rest,58.0
Portugal,work+rest,69.67
Portugal,work+rest,38.0
International,weekend,37.8
International,rest,81.66
International,work+rest,102.93
International,work+rest,29.0
International,work+rest,70.0
International,work+rest,43.9
International,work+rest,43.9
International,work+rest,118.5
International,work,55.0
International,work+rest,38.46
International,work+rest,49.94
International,rest,70.45
International,rest,70.45
International,work+rest,60.64
International,work+rest,114.6
International,work+rest,69.12
Portugal,work,45.0
International,work+rest,65.75
International,work+rest,58.4
International,work+rest,139.05
International,work+rest,42.81
International,rest,79.66
International,work+rest,105.8
International,work+rest,50.84
International,work,55.0
International,work+rest,118.84
International,work+rest,49.9
International,work,55.0
International,work,66.0
Portugal,work+rest,53.41
International,work,80.0
Portugal,work+rest,43.8
International,work+rest,57.92
International,work+rest,62.5
International,work+rest,79.0
International,work+rest,62.5
International,work+rest,43.89
Portugal,work+rest,93.5
International,work+rest,55.1
International,work+rest,77.36
International,work+rest,52.4
International,work+rest,64.8
Portugal,work,30.0
Portugal,work,39.6
Portugal,weekend,34.4
Portugal,work,56.0
International,work+rest,91.85
International,work+rest,54.08
International,work,60.0
International,work,37.8
International,work,37.8
International,work,55.8
International,work+rest,100.27
International,work+rest,42.6
International,work+rest,42.6
International,work,55.8
International,work+rest,80.0
International,work+rest,75.0
International,rest,60.71
International,rest,60.71
International,rest,62.71
International,work+rest,54.0
Portugal,work,78.0
International,work+rest,40.54
International,rest,65.44
International,work+rest,52.18
International,work+rest,89.59
International,work+rest,41.4
Portugal,work,85.0
International,work,37.8
International,work+rest,49.17
International,work+rest,66.44
International,work+rest,52.4
International,work,70.8
International,work,64.8
International,work+rest,67.35
Portugal,work,45.0
Portugal,work,44.0
Portugal,work,35.0
Portugal,work,75.0
Portugal,work,27.0
Portugal,work,27.0
International,work+rest,67.22
International,work+rest,59.22
International,work,38.0
International,work+rest,33.0
Portugal,work,43.2
Portugal,work,43.2
Portugal,work,30.0
International,work+rest,80.33
International,work,38.0
International,work,38.0
International,work,38.0
International,work,38.0
International,work,38.0
International,work,38.0
International,work,30.4
International,work,38.0
International,work,38.0
International,work+rest,48.4
Portugal,work,37.8
International,work+rest,63.47
International,work,75.0
International,work+rest,100.0
International,work+rest,72.9
International,work,38.0
International,work+rest,62.88
International,work+rest,61.8
Portugal,work,59.04
International,work+rest,61.8
International,work+rest,128.7
International,work,53.1
International,work+rest,44.14
International,work+rest,70.45
International,work,62.0
International,work+rest,70.45
International,work+rest,52.86
International,work+rest,52.86
International,work,35.0
International,work+rest,41.57
International,work,29.0
International,work+rest,55.43
Portugal,work,92.63
International,work+rest,68.43
International,work+rest,56.57
International,work+rest,43.0
International,work+rest,38.88
International,work+rest,46.51
International,work+rest,44.88
International,work+rest,50.57
Portugal,work,33.0
International,work,37.8
Portugal,work,51.84
International,work,70.0
International,work+rest,52.4
International,work+rest,51.43
International,work,67.19
International,work,61.19
Portugal,work,48.0
International,work+rest,74.49
International,work+rest,55.65
International,work+rest,74.49
International,work,49.5
International,work+rest,33.68
International,work+rest,46.69
International,work,96.0
International,work+rest,66.48
International,rest,49.7
Portugal,work+rest,71.0
Portugal,work+rest,51.04
International,work+rest,78.43
International,work+rest,37.14
International,work+rest,50.57
International,rest,90.96
International,work,30.6
International,work+rest,39.21
International,work+rest,95.71
International,work+rest,87.48
Portugal,work+rest,40.68
International,work+rest,40.68
International,work+rest,96.0
International,work+rest,56.57
International,rest,44.28
International,rest,40.85
International,work,59.26
International,work+rest,35.0
Portugal,work+rest,83.5
International,work+rest,73.92
International,work,41.57
International,work,54.0
Portugal,work,70.0
Portugal,work,70.0
International,work+rest,40.03
International,work+rest,51.47
International,work,72.0
International,work,30.6
International,work,29.0
International,work,89.0
International,work,54.0
International,work,70.0
International,work,52.4
International,work,60.0
International,work,70.0
International,work,84.0
International,work,104.0
International,work+rest,39.15
Portugal,work,72.0
Portugal,work,72.0
Portugal,work,93.0
Portugal,work,72.0
Portugal,work,89.1
Portugal,work,55.8
Portugal,work,37.8
Portugal,work,75.0
International,work+rest,35.0
International,work,72.0
International,work,55.44
Portugal,work,55.0
International,work,41.57
International,work,48.0
International,work,55.8
International,work,55.8
International,work,55.8
International,work,55.8
International,work,37.8
Portugal,work,66.0
International,work,105.0
International,work,74.0
International,work+rest,37.8
International,work+rest,55.3
International,work+rest,52.4
International,work+rest,29.0
International,work+rest,29.0
International,work+rest,88.0
International,work+rest,68.0
International,work+rest,32.8
International,work+rest,69.04
International,work+rest,32.8
International,work+rest,28.71
International,work+rest,30.24
International,work+rest,60.0
International,work+rest,32.31
International,work+rest,29.0
Portugal,weekend,58.0
International,work+rest,58.65
International,work+rest,33.6
Portugal,weekend,52.0
International,work+rest,35.0
International,work+rest,68.0
International,work+rest,62.9
International,work+rest,33.26
International,work+rest,60.0
International,work+rest,84.8
International,work+rest,61.5
Portugal,work+rest,33.3
International,work+rest,52.4
International,work+rest,65.14
Portugal,weekend,70.0
International,work+rest,64.8
International,work+rest,32.8
Portugal,work+rest,61.8
International,work+rest,81.0
International,work+rest,33.26
International,rest,33.26
International,work+rest,30.6
International,work+rest,30.6
Portugal,weekend,35.0
International,work+rest,62.83
Portugal,weekend,51.0
Portugal,weekend,45.0
International,weekend,53.46
International,work+rest,97.0
Portugal,weekend,64.5
Portugal,weekend,58.5
Portugal,work+rest,36.5
International,weekend,59.9
International,work+rest,52.8
International,rest,34.0
International,work+rest,30.6
International,work+rest,43.2
International,weekend,88.8
Portugal,weekend,70.0
Portugal,weekend,52.36
International,work+rest,30.24
International,work+rest,37.8
International,weekend,41.0
International,weekend,70.0
International,work+rest,57.76
International,work+rest,84.3
International,work+rest,87.0
International,work+rest,64.8
International,work+rest,35.0
International,weekend,76.0
International,work+rest,55.8
International,work+rest,69.94
International,work+rest,71.94
International,work+rest,60.24
International,work+rest,43.8
International,work+rest,87.65
International,work,42.0
International,rest,102.8
International,work+rest,45.77
International,work+rest,52.4
International,work+rest,46.8
Portugal,work,96.0
International,work+rest,41.85
International,work+rest,36.04
International,work+rest,74.8
International,work,42.0
International,work+rest,47.24
International,work+rest,57.97
Portugal,work,30.0
Portugal,work,30.0
International,work+rest,52.4
International,work,35.0
International,work+rest,76.96
International,work+rest,54.86
International,work+rest,82.0
International,work+rest,60.0
International,work+rest,61.0
International,work+rest,64.8
International,work+rest,70.11
International,work+rest,42.0
International,work+rest,48.47
International,work+rest,46.43
International,work+rest,66.0
International,work+rest,52.4
International,work,37.8
International,work+rest,37.8
International,work+rest,73.0
International,work,29.11
International,work+rest,62.48
Portugal,work+rest,30.0
International,rest,88.8
International,work+rest,60.48
International,rest,37.8
International,work+rest,58.4
International,work,54.8
International,work+rest,60.0
International,work+rest,56.0
International,work+rest,61.2
International,work+rest,44.0
International,work,43.2
International,work+rest,49.5
International,work,63.0
Portugal,work,30.0
International,work,42.0
International,work+rest,32.24
International,work+rest,70.56
Portugal,work,60.0
International,work+rest,68.33
International,work,75.0
Portugal,work+rest,44.0
Portugal,work+rest,32.0
International,work,37.8
International,work,41.4
International,work+rest,37.8
International,work,41.4
International,work,70.0
Portugal,work,33.0
International,work+rest,27.0
Portugal,work,27.0
Portugal,work,33.0
International,work,96.0
International,work+rest,30.71
International,rest,44.15
International,work,96.0
International,work,90.0
International,work+rest,38.7
International,work+rest,54.0
International,work,79.8
Portugal,work+rest,55.71
International,work+rest,37.8
International,work+rest,36.04
International,work+rest,91.06
Portugal,work+rest,85.0
Portugal,work+rest,60.0
International,work+rest,80.22
International,work,46.8
International,work,105.0
International,work+rest,30.03
Portugal,work,35.0
International,work+rest,37.8
International,work,38.11
International,work+rest,82.0
International,work+rest,54.0
International,work+rest,68.4
International,work+rest,39.51
International,work+rest,54.0
International,work+rest,37.8
International,work+rest,54.0
International,work+rest,35.0
International,work,37.8
International,work,37.8
International,work,37.8
International,work,37.8
International,work+rest,96.0
International,work,60.3
International,work,100.0
Portugal,work,85.0
International,work+rest,29.0
International,work+rest,68.04
Portugal,work+rest,83.06
International,work,29.0
International,work+rest,30.24
International,work+rest,46.8
Portugal,work+rest,30.24
International,work,65.0
International,work,46.8
International,work,37.8
International,work,53.2
International,work+rest,57.47
International,work+rest,35.0
International,work+rest,37.8
International,work,46.8
International,work,78.25
International,work,55.0
International,work,106.0
International,work+rest,37.0
International,work,43.8
International,work+rest,57.8
International,work,52.8
International,work,37.8
International,work,36.24
International,work,30.24
International,work+rest,55.8
Portugal,work,76.0
International,work+rest,37.8
International,work+rest,36.1
International,work+rest,55.8
Portugal,work+rest,79.8
International,work+rest,64.8
International,work+rest,31.95
International,work,33.26
International,work,46.8
Portugal,work+rest,143.97
Portugal,work,85.0
International,rest,40.1
International,work+rest,64.9
International,work,75.6
Portugal,work,37.8
International,work,30.24
Portugal,work,37.8
International,work+rest,61.58
Portugal,work,64.8
Portugal,work,70.8
Portugal,work,37.8
Portugal,work,81.0
Portugal,work,85.0
International,work+rest,74.17
International,rest,46.8
Portugal,work,85.0
Portugal,work,114.4
International,work,93.0
Portugal,work,57.75
International,work,46.8
Portugal,work+rest,175.0
Portugal,work,37.8
Portugal,work,37.8
Portugal,work,37.8
International,work,82.8
International,work,54.0
International,work,37.8
International,rest,50.02
International,work,29.0
Portugal,work,41.57
International,rest,47.7
Portugal,work,37.8
International,work,113.0
Portugal,work,75.0
International,work,76.5
International,work,65.8
International,work+rest,67.71
International,work+rest,77.18
International,rest,53.32
International,work+rest,71.67
International,work+rest,43.0
International,work+rest,60.65
International,work+rest,37.8
International,work+rest,58.4
International,work+rest,52.8
International,work+rest,39.51
International,rest,89.77
International,work+rest,37.8
International,work+rest,68.15
International,weekend,65.0
International,work+rest,52.4
International,work+rest,46.7
International,weekend,63.28
Portugal,rest,37.8
International,work+rest,37.8
International,work+rest,37.8
International,work+rest,87.0
International,work+rest,59.12
International,weekend,48.0
Portugal,weekend,65.0
International,work+rest,37.8
Portugal,work+rest,48.0
International,work+rest,88.68
International,work+rest,60.48
International,work+rest,46.8
International,work+rest,37.44
International,work+rest,37.8
International,work+rest,37.8
International,weekend,43.0
Portugal,weekend,43.0
Portugal,work,43.0
Portugal,weekend,30.0
Portugal,work,30.0
Portugal,weekend,30.0
Portugal,weekend,30.0
International,work+rest,42.97
International,work+rest,58.98
International,weekend,56.0
International,work+rest,46.8
Portugal,work+rest,37.8
International,work+rest,51.0
International,work+rest,46.8
Portugal,weekend,60.0
International,weekend,60.0
International,work,46.2
International,weekend,80.0
International,work+rest,29.0
International,weekend,79.0
Portugal,weekend,48.0
Portugal,work,48.0
Portugal,work,60.0
Portugal,weekend,111.0
Portugal,weekend,62.7
International,weekend,65.0
International,rest,34.86
International,work+rest,64.8
International,work+rest,64.8
International,work+rest,64.8
International,work+rest,46.8
International,work+rest,29.0
International,work+rest,64.8
International,work+rest,30.24
International,rest,39.6
Portugal,rest,30.6
International,work+rest,26.1
International,rest,64.6
Portugal,work,30.0
Portugal,work,52.0
International,work+rest,39.4
International,work+rest,37.8
Portugal,work+rest,29.0
International,work,48.0
Portugal,work,41.0
International,work,48.0
Portugal,work+rest,94.0
Portugal,weekend,95.0
Portugal,weekend,68.0
International,work+rest,37.8
Portugal,work,35.12
International,work+rest,89.71
International,work+rest,116.0
International,work+rest,37.37
International,work+rest,83.71
International,work,48.0
International,work,48.0
International,work+rest,37.8
International,work+rest,37.8
Portugal,work,35.0
International,work,48.0
International,work,48.0
Portugal,work,43.88
Portugal,work,54.9
Portugal,work,63.1
Portugal,work,40.0
International,work,45.1
Portugal,work,42.04
International,work+rest,60.0
International,rest,66.6
Portugal,work+rest,60.0
International,work,79.0
Portugal,work,33.0
International,work,48.0
International,work+rest,86.0
International,work+rest,55.8
International,work+rest,30.6
International,work+rest,63.0
International,work,111.0
International,work+rest,50.05
International,work+rest,65.86
Portugal,work,41.0
Portugal,work,38.5
Portugal,work,42.0
Portugal,work,40.0
Portugal,work+rest,108.5
International,work,111.0
International,work,76.0
International,work+rest,29.0
International,work+rest,55.8
International,work+rest,34.0
International,work+rest,60.0
International,rest,82.8
Portugal,work,35.0
Portugal,work+rest,30.0
Portugal,work+rest,35.0
Portugal,work,54.0
International,work+rest,29.0
International,work+rest,61.8
International,work+rest,52.4
International,work+rest,36.29
International,work,37.8
International,work+rest,50.68
International,work,48.0
International,work,56.0
International,work+rest,37.8
International,work,37.8
Portugal,work,60.0
International,work,59.4
International,work,59.4
Portugal,work+rest,54.47
International,rest,85.8
International,work+rest,47.0
Portugal,work,54.0
Portugal,weekend,39.6
International,work+rest,66.0
International,work+rest,29.41
International,work+rest,66.0
International,work+rest,47.0
International,work+rest,34.0
International,work+rest,66.0
International,work+rest,77.18
International,work+rest,47.0
Portugal,work+rest,85.0
International,work,65.4
Portugal,work,80.0
International,work,53.4
International,work+rest,66.0
Portugal,rest,40.7
International,work+rest,48.0
Portugal,work+rest,27.0
Portugal,rest,27.0
International,work+rest,73.8
Portugal,work,60.0
Portugal,work,30.0
Portugal,work,30.0
Portugal,work,43.0
Portugal,work,64.6
Portugal,work+rest,35.0
Portugal,work,42.0
International,work+rest,67.8
Portugal,work,61.2
Portugal,work,30.0
International,work,48.8
International,work+rest,56.24
International,work+rest,43.0
International,work+rest,30.24
Portugal,work,48.0
Portugal,work,60.0
International,work,73.8
International,work,73.8
International,work+rest,43.8
International,rest,55.8
International,work+rest,42.97
International,work+rest,55.8
International,rest,30.24
International,work+rest,54.56
International,work,30.6
International,work+rest,52.0
International,work+rest,51.84
International,work+rest,57.8
International,work+rest,57.39
International,work+rest,55.8
International,work+rest,37.71
International,work,105.0
International,work+rest,108.0
International,work,63.26
International,work+rest,57.4
International,work,111.0
International,work+rest,130.0
International,work+rest,43.8
Portugal,work,71.0
Portugal,work,71.0
Portugal,work,65.0
Portugal,work,60.0
International,work+rest,74.05
International,work,29.0
International,work,44.0
International,work,30.6
Portugal,work,60.0
Portugal,work,66.0
Portugal,work,60.0
International,work+rest,29.0
International,work+rest,30.6
International,work,60.0
International,rest,65.77
International,work,38.88
International,work+rest,29.0
International,work+rest,29.0
International,work+rest,57.64
International,work+rest,50.44
International,work,29.0
Portugal,work+rest,52.4
International,work+rest,54.0
International,work,26.99
International,work,26.99
International,work,26.99
International,work+rest,82.51
International,work+rest,49.71
International,work,65.0
International,work+rest,8.0
International,work+rest,29.0
International,work+rest,51.84
International,work,29.0
International,work+rest,68.4
International,work,68.47
International,work+rest,55.8
International,work,46.8
Portugal,work,71.0
International,work+rest,41.53
International,work,62.0
International,work,56.0
International,work,42.12
International,work,64.52
International,work,64.52
International,work+rest,62.12
Portugal,work,63.0
International,work+rest,38.68
International,rest,68.72
Portugal,work,48.0
International,work,72.0
International,work,36.0
International,work,30.0
International,work+rest,74.38
International,work+rest,32.3
International,work,29.0
International,work,82.0
Portugal,work,69.0
Portugal,work,52.5
Portugal,work,80.0
Portugal,work,95.0
International,work,86.0
International,weekend,80.0
Portugal,work,50.0
Portugal,work,85.2
Portugal,work,65.0
International,work,64.8
International,rest,34.24
International,work,46.8
International,work+rest,36.12
Portugal,work,73.0
International,work,39.8
Portugal,work,48.0
International,work,48.25
Portugal,work,65.0
International,work,86.0
International,work,34.02
Portugal,work,30.0
International,work+rest,83.76
Portugal,work,48.3
International,work,34.0
International,work,55.8
International,work,88.0
Portugal,work+rest,29.0
Portugal,work,34.0
Portugal,work,34.0
Portugal,work,34.0
Portugal,work,34.0
Portugal,work,80.0
International,work,47.8
International,work+rest,58.24
International,work+rest,40.4
International,work+rest,50.6
International,work+rest,49.0
International,work+rest,43.0
International,work+rest,58.65
International,work+rest,105.0
International,work+rest,50.0
International,work+rest,37.8
International,rest,38.81
International,work+rest,50.0
International,work+rest,50.0
International,work+rest,50.0
International,work+rest,50.0
International,work+rest,45.0
International,work+rest,50.0
International,work+rest,50.0
International,work+rest,50.0
International,work+rest,34.0
International,work+rest,45.0
International,work+rest,67.5
International,work+rest,50.0
Portugal,work+rest,63.0
Portugal,weekend,55.0
International,rest,58.91
International,weekend,105.0
Portugal,work+rest,105.0
International,work+rest,36.0
International,work+rest,34.0
International,work+rest,37.7
International,work+rest,51.0
Portugal,work+rest,37.8
International,work+rest,37.8
International,work+rest,34.0
International,work+rest,34.0
International,work+rest,46.8
International,work+rest,37.8
International,work+rest,52.0
International,work+rest,37.8
International,work+rest,36.0
International,work+rest,34.0
International,work+rest,34.0
International,work+rest,51.0
International,work+rest,34.0
International,work+rest,43.3
International,work+rest,51.0
International,weekend,66.0
Portugal,weekend,48.0
International,work+rest,51.84
International,work+rest,37.8
International,work+rest,39.8
International,work+rest,37.8
International,work+rest,65.4
International,work+rest,41.58
International,work+rest,111.0
International,work+rest,37.8
Portugal,work+rest,50.22
International,work+rest,56.62
International,work+rest,30.24
International,work+rest,62.57
International,work+rest,82.8
International,work+rest,88.8
Portugal,weekend,55.0
Portugal,weekend,61.0
Portugal,weekend,30.0
International,work+rest,54.0
International,work+rest,65.75
Portugal,weekend,60.0
International,work+rest,64.4
International,work+rest,35.0
Portugal,rest,28.1
International,work+rest,29.0
International,work+rest,64.8
International,work+rest,48.0
International,work+rest,94.2
Portugal,work,55.0
International,work,48.0
International,work+rest,69.0
International,work+rest,36.6
International,work+rest,50.98
International,work+rest,34.0
Portugal,work+rest,62.0
International,work+rest,58.0
Portugal,work,48.0
International,work+rest,36.0
International,work+rest,37.8
International,rest,37.8
Portugal,work,44.0
International,work+rest,58.4
International,work+rest,52.4
International,work+rest,99.0
International,work+rest,52.4
Portugal,work,50.0
Portugal,work,38.0
Portugal,work,50.0
International,work+rest,37.8
Portugal,work,63.0
Portugal,work,36.0
Portugal,work,55.0
International,rest,42.0
International,work+rest,48.9
Portugal,work,44.0
International,work+rest,29.0
International,work+rest,37.8
International,work+rest,28.3
International,work+rest,30.3
International,work+rest,53.39
International,work+rest,30.6
International,work+rest,69.0
International,work,35.0
International,work+rest,34.3
International,work+rest,56.83
Portugal,work,44.0
Portugal,work,39.0
Portugal,work,49.0
International,work,29.0
Portugal,work,27.0
Portugal,work,48.4
Portugal,work,55.0
International,work,54.0
International,work,48.0
International,work,54.0
International,work+rest,37.8
International,work+rest,55.8
Portugal,work+rest,53.84
Portugal,work,43.0
Portugal,work,55.0
Portugal,work,68.0
International,work+rest,33.26
International,work,55.0
International,work,60.0
International,work+rest,84.12
International,work+rest,63.0
Portugal,work,55.0
International,work+rest,60.0
International,work,37.8
International,work+rest,37.8
Portugal,work,63.0
Portugal,work,63.0
International,rest,54.0
International,rest,70.97
International,work+rest,48.0
International,work+rest,56.6
Portugal,work+rest,37.8
Portugal,work,48.0
International,work,36.96
International,work,29.11
International,work+rest,67.44
Portugal,work,93.0
International,work+rest,43.2
International,work+rest,47.86
International,work+rest,67.86
Portugal,work,43.65
Portugal,work,43.0
International,work+rest,68.4
International,work+rest,59.4
Portugal,work,93.0
Portugal,work,43.0
International,rest,50.0
International,work,68.03
International,work,50.0
International,work+rest,52.4
International,rest,57.65
International,work+rest,26.64
Portugal,work+rest,37.8
International,work,43.0
Portugal,work,147.0
International,work+rest,30.24
International,work,34.56
International,work+rest,67.24
International,work+rest,36.64
International,work+rest,46.64
International,work,61.19
Portugal,work,73.3
Portugal,work,73.3
Portugal,work,42.0
International,work,49.75
Portugal,work+rest,29.0
International,work,88.0
International,work,54.0
International,work,62.4
International,work,63.8
Portugal,work,54.0
International,work,48.0
International,work,63.0
International,work,63.0
International,work,48.0
International,work,48.0
Portugal,work,63.0
International,work,48.0
Portugal,work,67.8
Portugal,work,67.8
Portugal,work,67.8
International,work,52.0
International,work,65.0
Portugal,work,36.0
International,work+rest,74.88
Portugal,work,63.0
Portugal,work,50.0
Portugal,work,78.0
Portugal,work,48.0
Portugal,work,58.0
Portugal,work,38.81
Portugal,work,49.0
International,work+rest,62.0
Portugal,work,56.0
International,work,50.4
Portugal,work,54.0
Portugal,work,84.0
Portugal,work,38.0
Portugal,work,48.0
International,work,43.0
Portugal,work,63.0
Portugal,work,48.0
Portugal,work,87.0
Portugal,work,88.0
International,work+rest,30.24
Portugal,rest,88.0
Portugal,work+rest,38.0
Portugal,work+rest,39.0
Portugal,work+rest,55.0
International,work+rest,29.0
Portugal,work+rest,49.0
Portugal,work+rest,48.0
International,work+rest,63.0
International,rest,70.6
International,work+rest,19.35
International,weekend,43.0
International,rest,39.14
International,weekend,43.0
International,work+rest,36.4
Portugal,work+rest,43.2
International,work+rest,52.0
International,work+rest,69.0
Portugal,work+rest,48.0
International,work+rest,66.0
International,work+rest,60.0
Portugal,work+rest,86.0
Portugal,work+rest,48.5
International,work+rest,70.33
International,work+rest,49.0
International,work+rest,34.0
Portugal,weekend,30.0
Portugal,weekend,43.0
Portugal,work+rest,43.0
Portugal,weekend,43.0
International,weekend,105.5
Portugal,weekend,43.0
International,work+rest,36.96
International,work+rest,43.0
Portugal,weekend,48.0
Portugal,weekend,57.0
Portugal,weekend,51.0
International,weekend,54.0
International,weekend,69.0
Portugal,weekend,64.0
International,work,50.0
Portugal,work,37.8
International,work+rest,31.0
International,work+rest,78.0
International,work+rest,29.0
Portugal,work,45.0
Portugal,work+rest,36.96
Portugal,work,43.0
International,work+rest,45.0
International,work+rest,45.0
International,work+rest,45.0
International,work+rest,45.0
Portugal,work,43.0
International,work+rest,45.0
International,work+rest,45.0
International,work+rest,45.0
International,work+rest,45.0
International,work+rest,45.0
International,work+rest,45.0
International,work,48.0
International,work+rest,29.0
International,work,93.0
International,work+rest,45.0
Portugal,work,73.0
Portugal,work,73.0
Portugal,work+rest,48.0
International,work+rest,35.0
Portugal,work,48.0
International,work+rest,31.45
Portugal,work,48.0
Portugal,work,60.0
Portugal,rest,33.05
International,work,48.0
International,work+rest,63.0
Portugal,rest,31.05
International,work,50.0
International,work,50.0
International,rest,54.0
Portugal,work,38.0
International,work,50.0
International,work,50.0
International,work,50.0
International,work,34.0
Portugal,work,38.0
International,work,50.0
Portugal,work,43.0
Portugal,work,43.0
Portugal,work,48.0
Portugal,work,48.0
Portugal,work,58.0
Portugal,work+rest,48.0
International,work+rest,33.26
Portugal,work,48.0
International,work+rest,66.0
International,work+rest,56.0
Portugal,work+rest,58.33
International,work,49.0
International,work+rest,65.0
International,work,47.12
International,work,29.0
International,work+rest,55.8
Portugal,work,48.0
International,work+rest,55.44
International,work+rest,55.8
Portugal,work,43.0
International,work,50.4
International,work,63.0
Portugal,work,62.5
International,rest,35.99
International,work,56.0
Portugal,work,43.0
International,work,50.4
International,work,64.0
International,rest,73.89
International,work+rest,44.64
International,work+rest,44.64
International,rest,54.0
International,rest,43.0
International,work,61.0
International,work,55.0
Portugal,work,94.0
International,work,82.8
Portugal,work,43.8
Portugal,work,30.0
Portugal,work,30.0
Portugal,work,54.0
Portugal,work,48.0
Portugal,rest,27.0
International,work,34.56
Portugal,work,38.4
Portugal,work,38.4
Portugal,work,38.4
International,work,99.0
Portugal,work,60.0
Portugal,work,75.0
International,work,48.0
Portugal,work,93.0
Portugal,work,60.0
Portugal,work,63.0
Portugal,work+rest,171.0
Portugal,work,48.0
